,Professions,Locations,Descriptions,Tags,Dates
0,Перекладач текстів,"Хотів, Україна, Віддалено",Знаю добре українську англійську німецьку і російську мови,Резюме,Створено: 20.12.2022
1,Креативний дизайнер / Арт-директор,"Україна, Віддалено","Упевнений в своїх можливостях креативний дизайнер, арт-директор, з гарними здібностями генерувати ідеї та досягнення поставлених цілей та завдань з крутими результатами, дотримуючись поставлених дедлайнів та високої якості результатів. Агоу, можливо ми потрібні один одному вже зараз. Пиши/дзвони!",Волонтерство,Створено: 18.12.2022
2,Двоє американських парамедиків шукають волонтерських можливостей,"Parker, Сполучені Штати Америки, По місцю / В офісі","Двоє американських парамедиків із Сент-Луїса, США, хочуть стати волонтерами в Україні. Обидва мають більш ніж десятирічний досвід роботи. Навчати можуть і ті, і інші. Багато досвіду травм.",Оплачувана,Створено: 17.12.2022
3,UI/UX Designer,"Варшава, Польща, Віддалено",Веб-дизайнер,Резюме,Створено: 16.12.2022
4,Обробка фото / фотошоп /фоторедактор,"Івано-Франківськ, Україна, Віддалено",Фотошоп якісно і швидко. Фотообробка,Волонтерство,Створено: 14.12.2022
5,Переклад текстів з німецької на українську,"Гданськ, Польща, Віддалено",Перекладу тексти з німецької мови на українську. Базові знання німецької мови. Також можу перекласти текти із російської на українську.,Резюме,Створено: 14.12.2022
6,Переклад текстів,"Ірпінь, Україна, Віддалено","Швидко перекладу текст з польської на українську та інше, працюю в Европі маю постійний доступ до Інтернету",Волонтерство,Створено: 13.12.2022
7,Junior Front End / Full Stack Developer шукаю роботу,"Україна, Віддалено","Маю досвід розробки з використанням технологій HTML, CSS, JavaScript, TypeScript, React, Redux, Node.js.",Оплачувана,Створено: 11.12.2022
8,Переклад текстів з англійської та польської,"Київ, Україна, По місцю / В офісі",Розгляну пропозицію віддаленої роботи або виконаю окремі замовлення. ,Резюме,Створено: 11.12.2022
9,"Керівник, директор ресторану, мережі, комплексу відпочинку.","Запоріжжя, Україна, Віддалено","Маю досвід у перекладі текстів, працюю в цій сфері близько року. Мій рівень Upper-Intermediate (B2). З радістю перекладу ваші тексти)",Резюме,Створено: 09.12.2022
10,"Маю навички роботи в "" Adobe Photoshop"", ""Adobe Illustrator""","Київ, Україна, Віддалено",Шукаю роботу у галузі готельно-ресторанного бізнесу,Резюме,Створено: 07.12.2022
11,Редактор,"Київ, Україна, Віддалено",Наразі шукаю підробіток. Буду рада співпраці. Посилання на мої роботи надам при особистому спілкуванні.,Резюме,Створено: 06.12.2022
12,Переклад з англійської на українську мову,"Умань, Україна, Віддалено",Можу відредагувати ваш текст українською мовою,Волонтерство,Створено: 06.12.2022
13,Перекладаю тексти з української на англійську та польську мови,"Київ, Україна, Віддалено",З радістю перекладу професійно ваш текст. Мій рівень зараз Upper-Intermediate (B2).,Оплачувана,Створено: 06.12.2022
14,3d-Візуалізатор,"Німеччина, Віддалено","Швидко та якісно перекладаю з української на англійську, польську та навпаки. Ціна в залежності від тексту.",Резюме,Створено: 06.12.2022
15,Програміст (C/C++/Python),"Сарни, Україна, Віддалено",3d-візуалізація інтер‘єру,Волонтерство,Створено: 04.12.2022
16,"Переклад текстів на англійську, українську, польську мову","Київ, Україна, Віддалено","Знаю C, C++, Python, CMake. Працював потроху з усім, крім вебу. Володію англійською і німецькою.",Оплачувана,Створено: 03.12.2022
17,Junior Front-End developer,"Луцьк, Україна, Віддалено","Якісно перекладаю тексти. Маю високий рівень володіння мовами. Хороша робота від мене, мінімум часу від вас.",Резюме,Створено: 29.11.2022
18,Переклад текстів на українську / російську / англійську мову,"Київ, Україна, Віддалено","Я Junior Front-End розробник. Я зосереджуюсь на HTML5, CSS3, SCSS, JavaScript. Шукаю віддалену роботу або постійну роботу в офісі. Для мене важливий розвиток, практика і робота на результат.",Резюме,Створено: 28.11.2022
19,Менеджер з продажу/менеджер інтернет-магазину,"Познань, Польща, Віддалено","Можу перекладати різноманітні тексти, маю високий рівень володіння українською мовою та російською, середній рівень володіння англійською мовою ",Резюме,Створено: 27.11.2022
20,Перекладач/секретар/копірайтер,"Україна, Віддалено",Терміново шукаю роботу роботу менеджером з продажів/менеджером інтернет-магазину.,Резюме,Створено: 26.11.2022
21,"Копірайтер, перекладач текстів","Київ, Україна, Віддалено","Можу перекладати тексти, робити опис товарів, працювати з документацією, оформляти та обробляти онлайн замовлення. Маю постійний доступ до Інтернет та світло.",Резюме,Створено: 21.11.2022
22,Web UI/UX designer,"Україна, Віддалено","Володію англійською (В2), польською (В1), українською та російською мовами. Вже мала досвід у роботі з текстами, готова до співпраці.",Резюме,Створено: 21.11.2022
23,Залучення потенційних клієнтів за допомогою таргетованої реклами,,"Готовий зробити дизайн адаптивного сайту лендінгу на волонтерських основах, пройти практику, чи стажування, для подальшого працевлаштування. Тому що зараз в пріоритеті пошуку роботи і цей найголовніше для мене зараз, так як, я безробітній та переміщена особа з відомої всім с. Чорнобаївка.",Резюме,Створено: 19.11.2022
